,car_name,engineSize,year,mileage,price,link
636,Ford Focus St 2.3 Petrol 280ps,2.3,2020,3494,25455,www.theaa.com/used-cars/cardetails/37-2976283
637,Ford Focus Active X 1.5 Diesel 120ps,1.5,2020,4236,19435,www.theaa.com/used-cars/cardetails/37-2976282
638,Ford Focus Titanium 1.5 Diesel 120ps,1.5,2020,1042,16735,www.theaa.com/used-cars/cardetails/37-2976281
639,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,2659,19500,www.theaa.com/used-cars/cardetails/37-2976280
640,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,1785,20660,www.theaa.com/used-cars/cardetails/37-2976278
641,Ford Focus Active X 2.0 Diesel 150ps,2.0,2020,1219,17930,www.theaa.com/used-cars/cardetails/37-2976275
642,Ford Focus St 2.0 Diesel 190ps,2.0,2020,3595,24260,www.theaa.com/used-cars/cardetails/37-2976274
643,Ford Focus St 2.3 Petrol 280ps,2.3,2020,6441,25765,www.theaa.com/used-cars/cardetails/37-2976273
644,Ford Focus St 2.3 Petrol 280ps,2.3,2020,5034,26090,www.theaa.com/used-cars/cardetails/37-2976272
645,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,2114,19130,www.theaa.com/used-cars/cardetails/37-2976269
646,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,3310,19970,www.theaa.com/used-cars/cardetails/37-2976268
647,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976264
648,Ford Focus St 2.0 Diesel 190ps,2.0,2020,916,24410,www.theaa.com/used-cars/cardetails/37-2976259
649,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,3321,20160,www.theaa.com/used-cars/cardetails/37-2976256
650,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,7241,19450,www.theaa.com/used-cars/cardetails/37-2976255
651,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976227
652,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976206
653,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976195
